Brand Name,Product Name,Review
FOA,Shoes,"I recently placed an order (Shoe) during the Augustst sale, and the experience has been incredibly frustrating. You advertise yourselves as a “reputed business” that “values its customers,” but based on my experience, but guess what that’s a complete joke. I paid in full, and was promised it would be ready for pickup within few days. Guess what? No product, no updates, and absolutely no proper communication and its beendays now. I’ve sent multiple emails, all of which have been completely ignored. I’ve called three times, only to hear the same pathetic excuse about being overwhelmed with orders. That’s not my problem. If you’re going to run a sale, you better be able to handle the volume, period. A so-called “reputed” business wouldn’t drop the ball like this. And today, I was lied to again by your customer service rep who swore I’d get an email update by within couple minutes. And, shocker, no email. This is completely unacceptable and shows that your company either doesn’t know what it’s doing or doesn’t give a damn about its customers. If this is what you mean by “valuing customers,” then I’ll be thinking long and hard about ever doing business with you again. I want my order ready immediately—no more excuses—or I’ll escalate this further. I also expect an explanation for this disgraceful service. You seriously need to reevaluate what being a “reputed business” means, because right now, your reputation is circling the drain. *********Don't be like the politicians the business will die soon if you guys doesn't give a damn about us**************"
FOA,Shorts,"The elastic waistband provides a secure, comfortable fit throughout the day."
FOA,Pants,I ordered a pair of cream cargo pants from foa and was in a hurry to get it so I asked a worker named shenal from foa on how to get it down to my university and he helped me pick the perfect pants and he delivered it to my university.has such a lovely interaction with the store and the worker I will definitely purchase again from foa.🔥🔥
FOA,Dress,Great dress and good material
FOA,Shoes,I bought a pair of shoes online and it did ship to me in quickly. Bit when i got the package the shoes had some mold/fungus. When i email about it they didn't even respond to it and when i try to contact them they didn't answer the phones as wel. Very bad customer service and really disappointed.. did not expect these kind of service from F.O.A
FOA,T-shirt,"This t-shirt is super soft and fits like a dream, making it a daily favorite."
FOA,Overall Dress,The best place to make your look more attractive and the prices of the clothes are simply affordable.And yeah you can grab some uncommon clothes and those are pretty awesome 💫
FOA,T-shirt,"A true standout, this oversized tee combines comfort with a fashion-forward design."
FOA,Hoodie,"The fabric remains soft and comfortable, wear after wear."
FOA,Joggers,Shallow pockets offer little practicality.
FOA,Bag,"This duffle bag is spacious and rugged, making it perfect for weekend trips."
FOA,Shoes,The sole provides exceptional grip and stability on different surfaces.
FOA,Shorts,Vibrant colors combined with quality stitching make these a standout pair.
FOA,Bag,Yesterday I brought a side bag good quality great customer care tnx foa clothing shwetha fernando
FOA,T-shirt,The intricate design elements make this t-shirt a conversation starter wherever you go.
FOA,Shorts,Speaking about this brand its a really cool full sri lankn brand🔥i have been usin their products for so long time its been really comfy and really cool fits specially shorts😎 and talking about the service at the store is really awesome really helpful. No second thoughts. Special thanks to rashad whos handling the store he gave a super support..
FOA,Hoodie,I appreciate the thoughtful design details that enhance its overall appeal.
FOA,Joggers,"I love the tapered design that gives a modern, athletic look."
FOA,T-shirt,This oversized tee makes a bold statement while remaining extremely comfortable.
FOA,Overall Dress,Totally disappointed their customer service. they don't know how to treat to their customers. we're not going buy clothes free of charge 😂. Worst customer services ever. Not only enough their brand quality.
FOA,T-shirt,"I’m very disappointed with my recent experience with FOA Clothing. I ordered a T-shirt during their birthday sale on Augustst, but I've been trying to check the delivery status for over a week now. Last Friday, I was told my order would arrive on Wednesday, but that didn't happen, I was then informed it would arrive today. However, today, I called again to check on my delivery, only to be informed that my item is out of stock. They never called me to provide this update. I’m frustrated that my order was taken without notifying me of its availability. They mentioned they would process a refund, but I haven’t received any follow-up, despite reaching out multiple times. The customer service has been lacking, and this experience has left me quite upset. Very disappointed!!!"
FOA,Bag,Bought the duffle bag online. Was delivered indays. Been using it for less than two weeks now. Got caught in the rain once and the FOA print is peeling off already. Pretty bad quality print I must say. Hopefully the duffle bag won't fall apart like the print.
FOA,Shoes,"I ordered pair of sneakers from your site. But still i did not receive it. I payed uber delivery charge for one day delivery also. And it's disappointing when a company doesn't answer their phone, especially for online orders. And i tried to contact via massenger and whtasapp. But they are not replying. Efficient communication is key to good customer service. Hopefully, you'll improve your responsiveness in the future."
FOA,T-shirt,Color discrepancies between online images and the actual product were off-putting.
FOA,Shorts,"Material durability is lacking, making them less practical for everyday use."
FOA,T-shirt,FOA is my favourite place to shop at. They have the best oversized tT-shirts. Their quality is next level. Love this shop. Sulaiman Sajjad
FOA,Shorts,The shorts are incredibly comfortable
FOA,T-shirt,"FOA has always been a go to brand for me. Purchased a lovely set of oversized tees and croptops for my girl. She was super satisfied with the quality of the merchandise. The environment at OGF branch was welcoming. We wanted to do an exchange afterwards, when we called the hotline a pleasant individual named Shenal provided an excellent service to meet our required. Looking forward to visit again soon. Cheers FOA"
FOA,Overall Dress,Finest clothing brand which is super comfortable Ushan Chamod Hettiarachchi
FOA,Overall Dress,Dilum is a very supportive and friendly person . He has good sense of fashion . Great guy
FOA,Shorts,It is a local Brand. They have met the quality of an international brand. Their prices little bit low than international brands. I bought a pair of shorts only. Only one colour available. They have sold out all stock of black. Material is good. Need to use it for some time to comment on it much.
FOA,Hoodie,"Vibrant color options that resist fading, even after multiple washes."
